sentiment,vi_review
negative,buồn 😊
negative,minh yn_nhi 2009 🐰 ( nv1 let's go ) c-cũng ước ☺ ️
positive,palm ngủ dậy 😁
positive,salim xinh đi thoyyyyy
negative,hnay buồn hà 😓
positive,<someone> vô song
positive,happy birthday to those celebrating today . i rep 6 oct
positive,cô dâu mặt phúc hậu 😍
positive,<someone> tuyệt vời 🥰
negative,2 chồng sinh gánh vác kinh tế nuôi chồng nuôi học im lặng bạn bè gia đình
positive,daisy nt hẹn cổng nói chuyện 1 lát
positive,salim xinh lắm 🥰
negative,hát
positive,đẹp hà 🥰 🥰 🥰 🥰 🥰
positive,cổ đẹp gái mẹ cổ xinhh vữ nuaaaaaa 😭 😭
positive,"hạnh phúc , tiền , đau ốm 🥰"
positive,ước minh . 1 câu . cưới liền
positive,dê
negative,khóc vơi đi nỗi sầu
positive,tiếu lâm
positive,mô hình hình động video mô phỏng phân tích cơ bản trận đánh ý nghĩa nhân dân <someone> lịch sử điện biên phủ
negative,ngân vương sống
negative,"khóc , j rưng rưng liền mặc dù mik cố gắng kìm nén lắm"
positive,🥰 🥰 🥰 🥰 🥰
negative,quách cho xong
negative,19 vs mông lungg
positive,vía pam gái e
negative,no co phai la dan ong k vay
positive,hat bui nho e ☺ ️ 🤭 🤭 🤭
negative,cay đắng c quên đi toi
negative,thoát ik dc ko
positive,xinh iuu rồiii
positive,ê
negative,khong giàu có . kh mắc nợ aii
negative,buồn lắm đành 😭
negative,chuotnho0902 😔
negative,khóc 1 nhặt ôm suy nghĩ đêm
positive,chúc gđ bn hp
positive,thương 👍 👍 👍
positive,"soo cute 💕 , iu"
negative,bố đi . tiếc
positive,"tui k drone , tui biển đt 😬 . trời đt 😬 ."
negative,😭 😭 😭 😭 😭 😭 😭
positive,ý nghĩa ... bạn đọc chậm ...
positive,đẹp quâ . hoài
positive,cục học ik tán cr
negative,tự nhiên thương
negative,chuẩn đét .
negative,đàn ông
negative,"kênh . youtube . hòa phú quốc bố thương bố 🥰 bố tuyệt vời , lắng nghe , tâm sự ,"
negative,". thương , ."
positive,troi oi salim xinh quáaaaaaaaa
negative,thằng thụ tiêu
negative,tự dưng mất ngủ
positive,tuyet voi
negative,"hôm qua lướt 1 , b ý 44 2 , đọc cmt mìh sợ vô cùng .."
positive,meo meo dancer kbiet
negative,k xứng đàn ông
positive,chuc mung sinh nhat
negative,ck xong buồn tâm sự mẹ . sợ mẹ buồn đành im lặng
negative,bo ck di o danh hoai
negative,tao đéo đáh vk
negative,khóc . mặt ngừoi mĩm cừoi tưoi 😁
negative,cuộc đời đi bế tắc
negative,đàn ông co bản lĩnh x h o đánh gái yếu đuối mà còn ca t . y tuổi <someone> quý giá
negative,lâu tớ mún từ bỏ nma ... 🥺
negative,sỹ quý lụm
positive,🤣 🤣 🤣 lun 🤣 🤣
positive,de thương pua di 💝 💝
negative,diệu linh 🙄
positive,dc ta
negative,4
negative,kiểu tán dạo chia tay hắn k qtam =)) con kiến đám cgai hắn tán
positive,thùy dung
